age,income,target
32,9256000,0
23,10167000,1
27,9777000,1
40,8161000,0
42,8117000,1
28,7896000,1
39,4484000,0
48,8413000,1
31,4096000,0
36,4985000,0
37,10389000,1
43,8834000,0
37,11079000,1
54,5986000,0
35,4398000,1
40,6052000,1
38,6822000,1
29,6768000,0
51,9789000,0
31,5801000,0
34,7446000,0
56,4657000,0
63,7707000,0
51,6590000,1
62,5063000,0
59,6061000,1
42,6172000,1
55,5989000,1
35,12237000,0
41,6360000,1
45,6044000,1
64,3159000,1
59,4814000,1
43,6004000,1
50,5178000,0
30,10677000,0
57,6214000,1
45,10334000,1
44,6727000,1
55,6669000,1
49,6382000,0
24,6592000,0
33,12014000,0
28,2923000,0
54,3267000,1
22,5443000,1
30,6617000,1
47,8381000,0
52,7768000,0
43,5755000,0
59,9404000,0
62,9441000,0
26,7021000,0
63,9220000,1
48,7242000,1
49,5408000,1
25,8404000,1
48,6843000,1
53,6586000,1
47,11023000,0
24,2792000,0
44,4008000,0
63,4345000,1
53,5797000,0
27,6022000,1
64,3884000,1
64,4663000,1
28,4870000,1
57,15558000,1
39,12368000,0
47,5699000,0
41,5796000,0
56,4403000,1
65,3376000,0
56,6319000,0
62,4642000,1
63,6390000,0
25,3760000,0
32,5042000,1
53,6934000,1
47,7483000,1
23,7619000,1
25,4147000,1
44,8878000,1
48,4975000,0
28,8215000,0
28,6559000,0
26,4066000,0
46,5893000,0
21,7481000,0
46,8158000,0
42,6266000,1
41,11253000,1
51,9366000,0
44,6017000,0
53,8559000,0
55,12953000,0
62,13074000,0
56,4283000,0
44,4760000,0
43,11070000,1
31,4545000,0
47,4144000,1
27,5553000,0
62,7626000,1
59,6351000,1
26,5242000,0
56,5199000,1
26,5130000,1
53,4839000,0
24,14630000,1
42,7305000,0
50,8979000,1
53,5547000,1
39,6168000,1
62,5128000,1
55,2602000,0
30,4064000,1
51,3493000,0
53,2995000,0
36,4332000,0
54,10467000,0
61,6481000,0
57,10342000,0
55,7601000,1
49,8657000,0
33,4803000,0
56,7908000,1
37,8496000,0
44,5380000,1
35,8007000,1
35,8026000,1
28,5431000,1
64,4444000,0
27,4349000,0
24,6785000,1
63,7381000,1
45,4988000,0
40,6645000,1
54,8038000,0
38,8173000,0
26,11332000,0
53,10293000,1
28,4637000,0
45,11867000,0
63,5467000,1
63,9490000,1
37,6742000,1
56,5699000,0
48,3497000,0
42,6199000,1
27,3814000,0
37,9235000,0
50,11194000,1
65,4981000,1
21,7317000,1
53,5107000,1
59,5283000,1
63,8633000,0
40,6495000,0
26,12102000,1
33,5561000,0
59,9340000,0
60,6811000,1
49,8697000,0
26,5629000,1
26,6470000,1
42,6322000,1
47,4913000,1
22,8300000,0
51,8265000,0
45,8103000,0
21,11273000,0
25,10933000,0
41,5773000,1
53,7501000,0
58,5292000,0
40,6637000,0
34,5337000,0
64,11606000,1
41,7477000,1
35,6099000,0
40,9997000,1
21,3080000,0
34,3253000,1
44,8697000,0
62,6724000,1
54,7186000,1
56,4138000,1
45,6530000,1
25,13273000,1
38,8784000,1
65,6986000,1
22,5645000,0
60,5734000,0
51,3124000,0
33,7204000,0
56,8850000,1
58,3792000,1
22,5223000,1
25,4390000,1
50,4696000,1
65,6707000,0
22,3174000,0
50,8162000,0
27,8571000,0
50,6029000,0
49,2763000,0
25,4645000,1
51,10135000,1
61,2490000,1
59,5829000,0
22,4356000,1
32,8724000,1
31,5198000,0
41,7583000,0
27,8024000,1
59,12518000,1
55,6132000,0
57,7509000,1
29,3915000,0
21,9986000,1
61,5045000,1
34,5410000,1
50,6532000,1
61,3809000,0
22,7132000,0
21,9236000,0
21,7294000,0
28,3775000,0
23,6304000,0
57,8535000,1
48,3412000,1
65,4519000,0
57,8947000,1
64,7236000,0
31,7604000,0
33,12620000,1
59,7756000,1
32,8288000,0
23,17001000,0
51,6108000,1
57,4979000,0
64,7646000,0
62,7676000,1
26,5475000,1
55,4587000,0
59,14775000,0
52,7381000,1
57,5095000,0
58,9071000,1
41,6336000,0
22,6025000,0
41,8015000,0
30,4188000,0
26,7448000,1
26,12859000,0
52,7750000,1
43,5771000,0
45,5512000,1
54,5702000,1
45,6023000,1
49,5768000,1
24,9072000,1
59,3589000,0
41,8901000,0
27,5764000,1
57,7511000,0
54,4437000,0
23,10480000,1
29,10180000,0
21,9211000,1
33,3874000,1
25,8799000,0
52,7585000,1
44,3753000,0
65,6527000,0
54,7479000,0
48,7997000,1
43,7004000,0
23,7289000,0
24,11026000,1
48,10111000,1
21,2413000,0
22,5891000,0
30,6214000,0
60,3565000,1
41,6804000,0
52,10192000,1
39,4501000,1
28,7406000,1
37,4778000,1
25,5203000,0
55,11041000,1
29,5444000,0
37,7739000,0
65,3420000,0
47,12633000,0
41,8129000,0
45,6176000,0
56,8052000,1
32,4019000,1
49,9958000,0
60,5877000,0
46,6129000,0
41,5542000,0
27,5372000,1
32,8395000,0
63,7200000,1
45,8270000,0
34,6563000,1
39,7878000,1
47,5685000,0
45,14366000,1
52,3803000,0
32,10235000,0
50,10626000,1
40,4885000,0
63,14364000,1
28,9327000,0
27,9248000,1
41,6648000,0
43,6101000,0
52,6118000,1
39,7547000,0
62,10750000,0
42,7014000,0
26,4785000,0
26,8785000,1
64,9087000,0
27,8278000,0
63,8546000,1
33,5987000,0
25,4756000,0
34,4858000,0
48,3714000,0
40,7152000,1
56,6394000,0
48,5643000,0
39,2340000,1
49,4254000,0
64,9745000,0
39,5217000,1
27,7469000,0
39,4046000,0
58,10892000,1
30,6259000,1
63,7286000,1
47,14858000,1
48,11192000,0
35,5913000,1
62,5349000,0
22,5874000,0
34,7869000,0
39,6345000,1
42,5733000,0
42,11001000,0
27,6325000,1
31,14722000,0
25,6795000,0
46,12297000,0
36,7460000,0
46,9221000,0
47,5108000,0
52,4883000,0
45,7732000,1
50,9304000,0
47,6676000,0
50,4197000,0
48,4089000,0
35,3995000,1
32,3546000,0
56,6840000,0
36,9760000,1
45,6552000,1
29,2984000,1
40,6158000,0
44,6218000,0
49,13709000,1
44,3953000,1
37,5742000,1
64,11960000,1
44,7706000,1
