age,income,target,lama_bekerja_tahun
21,8453000,0,1
56,13244000,1,38
56,4361000,0,35
56,4911000,0,33
50,7148000,0,27
42,11570000,0,22
52,4292000,0,32
33,7183000,0,12
56,12453000,0,33
46,3693000,0,28
41,4204000,0,21
43,5676000,0,24
46,5486000,0,23
22,8749000,1,1
27,7164000,0,9
32,3537000,0,13
26,7884000,0,8
40,5378000,0,19
51,10284000,1,27
50,5285000,0,29
42,5268000,1,18
59,7956000,1,36
46,8598000,0,22
24,7701000,1,4
55,3649000,0,31
46,7947000,1,27
49,4584000,1,28
46,7148000,0,24
45,4000000,0,25
25,7696000,1,6
46,4964000,0,28
56,4202000,1,38
34,8451000,1,13
48,7164000,0,24
22,5310000,0,3
36,10940000,0,15
40,5642000,0,16
65,6657000,1,40
30,7233000,1,12
33,5299000,0,12
39,7763000,0,20
65,5462000,1,40
59,5700000,0,40
22,10606000,0,0
31,4574000,1,12
57,2829000,1,38
23,11569000,0,4
59,16067000,0,39
33,5712000,1,11
62,3342000,0,40
34,5905000,1,14
40,5955000,1,19
50,6160000,0,28
26,4458000,1,8
46,8063000,0,22
43,7910000,0,19
56,3902000,0,34
65,8408000,1,40
50,13503000,0,28
39,6991000,1,18
39,5850000,0,19
39,6264000,0,19
57,8165000,0,38
35,3592000,1,12
28,6973000,0,8
36,5742000,0,17
22,12569000,0,0
25,6194000,1,4
25,11802000,0,3
55,4474000,1,36
53,8085000,1,34
52,7362000,0,29
41,4857000,0,20
53,7005000,0,34
28,10063000,1,5
61,5878000,1,40
43,3641000,0,21
63,6543000,1,40
27,4800000,0,6
43,5840000,0,20
52,6398000,1,28
43,3624000,0,24
41,3740000,0,19
28,7793000,0,4
38,5482000,1,16
31,2683000,0,12
34,8664000,1,15
51,7241000,0,32
49,5128000,0,31
48,4152000,1,25
37,8820000,1,13
64,7439000,0,40
24,15156000,1,2
36,7626000,1,13
26,7540000,0,6
36,6209000,1,15
64,8761000,1,40
37,8193000,0,17
61,10202000,1,40
43,5485000,1,22
52,5652000,0,29
41,5567000,0,23
32,8682000,1,13
55,11122000,0,36
64,5606000,1,40
32,5674000,0,11
56,7348000,1,35
32,6040000,0,10
53,9186000,1,34
56,2993000,1,34
41,4929000,0,23
54,5006000,1,36
33,2922000,1,10
24,4698000,1,2
25,4779000,0,6
41,6136000,1,20
61,9718000,0,40
26,6042000,0,4
41,4589000,0,18
52,6453000,0,33
30,9504000,0,10
53,4678000,1,34
34,4786000,0,14
57,8004000,0,38
47,6092000,1,28
45,8257000,1,24
28,6552000,1,4
41,8415000,0,18
59,4582000,1,39
21,6555000,0,0
55,6115000,0,36
43,4301000,0,19
53,3809000,1,33
50,8369000,0,29
40,5822000,0,21
34,4603000,1,11
49,6365000,0,29
27,9770000,0,3
47,2963000,0,29
25,3899000,1,4
50,4766000,1,31
49,10978000,1,25
24,7267000,1,4
55,8611000,1,33
39,4417000,0,15
56,4449000,1,35
22,7700000,1,4
29,6719000,0,10
43,7977000,0,24
29,6164000,0,5
35,7256000,0,11
50,6958000,1,29
27,8643000,0,3
51,8732000,1,32
25,3734000,0,3
28,2998000,0,8
47,9347000,0,28
56,9976000,1,37
28,4606000,0,8
34,3433000,0,14
62,6815000,0,40
65,9118000,0,40
47,12350000,0,29
41,7887000,1,17
36,5780000,1,16
48,4816000,1,30
47,6609000,1,25
34,5928000,1,10
22,4615000,0,2
27,13485000,0,4
64,12296000,1,40
39,9797000,1,16
42,4769000,1,22
42,8880000,1,24
56,8235000,0,36
23,7686000,1,0
24,10195000,1,1
33,8222000,0,10
42,8529000,1,18
51,8227000,0,31
43,7417000,0,23
40,3526000,0,16
63,6779000,1,40
28,5419000,0,8
46,4206000,1,27
45,11859000,0,21
42,12057000,0,24
57,10593000,0,39
33,7198000,0,10
63,10561000,1,40
35,6611000,0,16
45,7067000,0,21
44,4490000,0,24
59,7564000,1,36
40,6724000,0,19
33,4173000,0,15
21,6466000,0,2
37,6402000,0,14
58,12350000,0,40
21,9002000,0,0
61,6609000,1,40
45,7182000,1,25
27,6686000,0,3
34,6132000,0,12
45,4507000,1,23
35,6244000,1,15
25,5070000,0,5
50,4250000,0,28
51,7873000,1,33
26,7549000,1,7
33,3522000,0,11
31,6306000,0,9
50,9328000,1,32
53,9537000,1,30
53,9427000,0,32
63,6673000,1,40
55,4897000,0,32
35,4505000,0,11
25,7427000,0,5
48,7518000,1,29
62,10330000,0,40
64,9674000,0,40
31,6285000,1,13
31,4259000,0,10
22,5887000,1,4
27,7103000,1,9
45,6133000,0,24
45,5378000,1,22
37,7192000,1,13
34,5518000,0,16
58,5284000,0,39
41,7341000,1,21
57,5719000,0,35
64,7170000,1,40
35,7244000,1,13
30,4418000,1,9
63,5563000,1,40
49,10889000,1,31
34,4383000,1,15
48,3138000,1,26
44,3431000,0,24
61,6650000,1,40
32,6655000,1,10
65,6318000,1,40
63,10069000,0,40
29,2583000,0,5
28,7561000,1,5
44,11370000,1,21
23,4436000,1,0
34,5764000,0,15
40,5058000,1,17
64,4814000,1,40
65,5873000,1,40
27,10849000,0,5
61,12523000,1,38
25,5853000,0,1
54,12823000,0,31
59,6665000,1,35
61,12162000,0,38
31,6371000,0,11
61,6892000,0,38
26,7481000,0,6
44,20027000,1,21
42,8868000,0,19
35,5139000,1,11
21,9241000,0,0
55,5800000,0,34
36,5546000,0,17
50,9048000,0,28
39,6655000,1,18
37,7257000,0,16
60,6615000,0,38
25,7406000,0,2
54,7639000,1,35
54,3342000,0,33
38,8313000,0,15
32,4668000,1,9
21,3974000,0,0
63,6450000,1,40
63,6779000,0,40
31,5164000,1,7
22,8805000,0,0
26,4115000,0,7
24,5709000,1,3
58,5364000,1,36
61,6477000,0,40
27,7258000,1,4
54,4626000,0,33
29,8482000,0,5
37,6730000,0,18
47,3395000,0,23
53,3317000,0,32
60,6555000,1,38
23,6093000,1,1
29,6349000,1,7
33,6519000,0,9
34,7124000,0,15
65,9172000,1,40
55,4462000,1,31
35,4368000,1,16
64,4490000,0,40
43,7283000,1,22
43,10178000,0,20
40,5661000,1,16
27,2743000,0,4
63,3626000,1,40
21,4918000,1,0
28,5416000,0,6
31,5706000,0,12
33,6672000,0,12
26,5903000,0,7
21,9504000,0,3
51,5196000,1,28
64,4868000,0,40
26,7784000,1,5
34,3846000,0,16
43,7545000,0,25
62,6824000,1,40
52,6252000,1,29
55,11477000,1,36
47,5295000,1,28
39,13539000,0,15
29,6084000,0,5
59,4210000,0,36
57,6746000,1,37
22,4517000,0,0
53,5060000,1,34
24,7564000,0,0
54,7996000,1,36
58,5295000,0,35
26,9301000,1,5
40,9871000,0,17
26,10883000,0,5
46,7923000,1,27
62,10609000,1,39
24,3408000,0,2
38,5890000,0,17
64,4860000,0,40
34,6864000,0,14
26,5390000,0,5
42,6211000,0,23
43,12721000,0,24
50,6203000,0,31
35,7609000,0,17
64,6069000,1,40
44,6760000,1,25
33,6597000,1,14
64,7701000,1,40
62,9898000,1,38
43,11717000,1,22
22,7336000,1,2
47,8092000,1,27
45,4400000,0,27
27,6384000,0,7
49,9149000,1,30
58,8914000,0,35
25,7089000,0,7
53,8978000,1,33
27,7817000,0,4
54,10020000,1,31
39,7285000,0,18
21,5812000,0,2
64,7404000,0,40
28,2360000,0,9
47,7527000,1,25
29,2000000,0,9
62,3601000,1,40
54,7711000,0,32
57,7781000,0,33
40,4383000,1,20
42,5131000,1,18
49,10635000,0,29
56,5557000,1,34
59,14433000,0,37
21,6579000,0,0
50,7594000,0,29
25,11593000,1,2
33,6892000,0,13
58,4635000,0,37
32,6335000,1,11
56,6501000,1,34
41,4083000,1,19
31,6019000,1,13
36,5077000,0,13
44,9098000,0,21
55,6663000,1,37
48,5963000,1,24
62,6343000,1,40
60,7118000,1,40
54,8169000,0,33
48,4639000,0,25
34,4572000,1,15
39,9690000,0,15
26,5698000,1,6
37,4009000,1,18
62,7689000,1,40
40,7742000,0,19
26,3853000,0,4
50,7134000,0,26
64,8516000,1,40
60,7505000,1,36
33,8213000,0,12
41,4027000,1,23
44,7392000,0,20
32,5921000,0,12
33,5560000,0,11
31,8928000,0,9
65,11048000,0,40
54,12336000,1,35
58,10430000,1,36
57,6335000,0,37
64,7448000,1,40
25,8610000,0,7
60,6868000,1,37
23,6891000,0,4
42,8783000,1,24
47,6448000,0,26
37,5100000,0,19
27,5694000,0,5
29,8218000,1,8
58,6590000,1,36
35,7415000,1,14
34,8323000,0,11
62,5774000,0,40
27,8578000,1,7
62,7516000,0,40
62,4273000,0,40
47,10906000,1,29
28,5525000,1,10
28,3688000,1,9
33,4566000,0,14
46,4605000,1,28
27,6704000,1,7
41,5981000,0,20
26,5851000,0,7
45,8177000,0,26
21,7415000,0,3
52,7353000,0,34
23,7598000,1,4
29,8167000,0,8
28,3148000,0,6
58,5795000,0,35
23,3069000,1,1
40,6667000,0,18
47,6572000,0,23
44,9492000,0,25
51,9976000,1,28
57,7067000,1,33
38,5525000,1,17
58,7801000,1,35
35,5472000,0,17
65,6580000,0,40
43,9296000,0,22
54,5416000,0,35
60,8727000,0,40
56,8344000,0,33
59,4713000,1,38
45,9257000,1,25
22,8406000,1,2
43,6822000,0,19
29,5041000,0,9
61,4873000,1,40
31,5454000,0,12
31,7960000,1,12
32,4712000,0,10
49,7672000,0,26
46,4263000,0,23
63,6129000,0,40
39,6841000,1,16
33,15491000,1,13
23,4065000,1,1
21,11020000,0,3
37,6937000,1,16
62,7602000,0,40
44,6861000,0,26
61,7692000,0,40
25,6238000,0,2
25,10951000,1,5
58,5611000,1,37
25,9784000,0,5
23,5254000,0,4
39,6446000,1,21
62,4524000,1,40
52,7719000,1,29
25,10917000,1,1
58,6407000,1,36
58,6145000,1,36
57,4457000,1,35
61,6075000,0,40
31,3770000,1,11
65,4783000,0,40
35,7127000,0,12
57,10445000,1,37
47,17597000,0,26
56,5361000,1,35
49,10879000,1,30
49,7169000,0,29
48,6244000,0,30
56,7659000,0,35
54,6727000,1,32
27,6842000,0,5
58,5706000,1,34
45,4036000,1,27
35,3835000,1,12
44,8274000,0,21
64,5975000,1,40
59,5343000,0,40
58,6603000,0,38
41,8695000,0,19
56,7012000,0,32
38,5232000,0,16
51,10112000,1,30
49,11441000,1,27
32,7827000,0,14
32,9256000,0,10
23,10167000,1,5
27,9777000,1,3
40,8161000,0,16
42,8117000,1,21
28,7896000,1,8
39,4484000,0,16
48,8413000,1,26
31,4096000,0,9
36,4985000,0,15
37,10389000,1,18
43,8834000,0,25
37,11079000,1,18
54,5986000,0,33
35,4398000,1,15
40,6052000,1,19
38,6822000,1,19
29,6768000,0,5
51,9789000,0,31
31,5801000,0,8
34,7446000,0,14
56,4657000,0,35
63,7707000,0,40
51,6590000,1,32
62,5063000,0,40
59,6061000,1,39
42,6172000,1,19
55,5989000,1,36
35,12237000,0,14
41,6360000,1,19
45,6044000,1,23
64,3159000,1,40
59,4814000,1,40
43,6004000,1,25
50,5178000,0,29
30,10677000,0,7
57,6214000,1,39
45,10334000,1,21
44,6727000,1,22
55,6669000,1,37
49,6382000,0,29
24,6592000,0,5
33,12014000,0,9
28,2923000,0,7
54,3267000,1,34
22,5443000,1,3
30,6617000,1,9
47,8381000,0,29
52,7768000,0,33
43,5755000,0,24
59,9404000,0,37
62,9441000,0,40
26,7021000,0,5
63,9220000,1,40
48,7242000,1,28
49,5408000,1,26
25,8404000,1,6
48,6843000,1,29
53,6586000,1,35
47,11023000,0,24
24,2792000,0,6
44,4008000,0,22
63,4345000,1,39
53,5797000,0,31
27,6022000,1,7
64,3884000,1,40
64,4663000,1,40
28,4870000,1,9
57,15558000,1,33
39,12368000,0,20
47,5699000,0,29
41,5796000,0,18
56,4403000,1,36
65,3376000,0,40
56,6319000,0,33
62,4642000,1,40
63,6390000,0,39
25,3760000,0,4
32,5042000,1,10
53,6934000,1,29
47,7483000,1,26
23,7619000,1,4
25,4147000,1,1
44,8878000,1,25
48,4975000,0,30
28,8215000,0,6
28,6559000,0,4
26,4066000,0,8
46,5893000,0,23
21,7481000,0,0
46,8158000,0,22
42,6266000,1,22
41,11253000,1,22
51,9366000,0,30
44,6017000,0,26
53,8559000,0,30
55,12953000,0,33
62,13074000,0,40
56,4283000,0,35
44,4760000,0,22
43,11070000,1,22
31,4545000,0,8
47,4144000,1,23
27,5553000,0,3
62,7626000,1,40
59,6351000,1,36
26,5242000,0,6
56,5199000,1,38
26,5130000,1,6
53,4839000,0,29
24,14630000,1,6
42,7305000,0,21
50,8979000,1,31
53,5547000,1,32
39,6168000,1,20
62,5128000,1,39
55,2602000,0,32
30,4064000,1,7
51,3493000,0,29
53,2995000,0,34
36,4332000,0,15
54,10467000,0,36
61,6481000,0,40
57,10342000,0,36
55,7601000,1,33
49,8657000,0,31
33,4803000,0,10
56,7908000,1,35
37,8496000,0,13
44,5380000,1,23
35,8007000,1,14
35,8026000,1,13
28,5431000,1,5
64,4444000,0,40
27,4349000,0,6
24,6785000,1,6
63,7381000,1,40
45,4988000,0,22
40,6645000,1,16
54,8038000,0,35
38,8173000,0,18
26,11332000,0,5
53,10293000,1,33
28,4637000,0,9
45,11867000,0,25
63,5467000,1,40
63,9490000,1,40
37,6742000,1,13
56,5699000,0,35
48,3497000,0,28
42,6199000,1,20
27,3814000,0,4
37,9235000,0,16
50,11194000,1,29
65,4981000,1,40
21,7317000,1,0
53,5107000,1,29
59,5283000,1,40
63,8633000,0,40
40,6495000,0,21
26,12102000,1,2
33,5561000,0,15
59,9340000,0,40
60,6811000,1,40
49,8697000,0,28
26,5629000,1,7
26,6470000,1,5
42,6322000,1,19
47,4913000,1,24
22,8300000,0,4
51,8265000,0,33
45,8103000,0,27
21,11273000,0,0
25,10933000,0,3
41,5773000,1,20
53,7501000,0,30
58,5292000,0,36
40,6637000,0,21
34,5337000,0,13
64,11606000,1,40
41,7477000,1,23
35,6099000,0,13
40,9997000,1,19
21,3080000,0,3
34,3253000,1,15
44,8697000,0,23
62,6724000,1,40
54,7186000,1,34
56,4138000,1,34
45,6530000,1,25
25,13273000,1,4
38,8784000,1,15
65,6986000,1,40
22,5645000,0,2
60,5734000,0,40
51,3124000,0,27
33,7204000,0,14
56,8850000,1,33
58,3792000,1,39
22,5223000,1,2
25,4390000,1,3
50,4696000,1,27
65,6707000,0,40
22,3174000,0,3
50,8162000,0,26
27,8571000,0,7
50,6029000,0,31
49,2763000,0,26
25,4645000,1,7
51,10135000,1,27
61,2490000,1,37
59,5829000,0,36
22,4356000,1,2
32,8724000,1,14
31,5198000,0,11
41,7583000,0,21
27,8024000,1,3
59,12518000,1,37
55,6132000,0,31
57,7509000,1,34
29,3915000,0,6
21,9986000,1,3
61,5045000,1,40
34,5410000,1,16
50,6532000,1,28
61,3809000,0,40
22,7132000,0,0
21,9236000,0,3
21,7294000,0,0
28,3775000,0,6
23,6304000,0,5
57,8535000,1,39
48,3412000,1,28
65,4519000,0,40
57,8947000,1,37
64,7236000,0,40
31,7604000,0,13
33,12620000,1,15
59,7756000,1,37
32,8288000,0,8
23,17001000,0,4
51,6108000,1,27
57,4979000,0,37
64,7646000,0,40
62,7676000,1,40
26,5475000,1,6
55,4587000,0,34
59,14775000,0,37
52,7381000,1,33
57,5095000,0,38
58,9071000,1,37
41,6336000,0,23
22,6025000,0,3
41,8015000,0,19
30,4188000,0,6
26,7448000,1,4
26,12859000,0,7
52,7750000,1,28
43,5771000,0,22
45,5512000,1,22
54,5702000,1,35
45,6023000,1,23
49,5768000,1,31
24,9072000,1,2
59,3589000,0,40
41,8901000,0,17
27,5764000,1,9
57,7511000,0,35
54,4437000,0,36
23,10480000,1,1
29,10180000,0,8
21,9211000,1,0
33,3874000,1,11
25,8799000,0,5
52,7585000,1,34
44,3753000,0,22
65,6527000,0,40
54,7479000,0,36
48,7997000,1,26
43,7004000,0,24
23,7289000,0,4
24,11026000,1,6
48,10111000,1,28
21,2413000,0,2
22,5891000,0,4
30,6214000,0,9
60,3565000,1,40
41,6804000,0,23
52,10192000,1,31
39,4501000,1,21
28,7406000,1,4
37,4778000,1,16
25,5203000,0,1
55,11041000,1,31
29,5444000,0,5
37,7739000,0,16
65,3420000,0,40
47,12633000,0,24
41,8129000,0,23
45,6176000,0,22
56,8052000,1,36
32,4019000,1,14
49,9958000,0,30
60,5877000,0,40
46,6129000,0,28
41,5542000,0,19
27,5372000,1,9
32,8395000,0,9
63,7200000,1,40
45,8270000,0,22
34,6563000,1,14
39,7878000,1,21
47,5685000,0,28
45,14366000,1,23
52,3803000,0,29
32,10235000,0,13
50,10626000,1,30
40,4885000,0,16
63,14364000,1,40
28,9327000,0,8
27,9248000,1,8
41,6648000,0,21
43,6101000,0,22
52,6118000,1,31
39,7547000,0,20
62,10750000,0,40
42,7014000,0,21
26,4785000,0,3
26,8785000,1,7
64,9087000,0,40
27,8278000,0,8
63,8546000,1,40
33,5987000,0,11
25,4756000,0,5
34,4858000,0,15
48,3714000,0,24
40,7152000,1,21
56,6394000,0,37
48,5643000,0,24
39,2340000,1,18
49,4254000,0,31
64,9745000,0,40
39,5217000,1,18
27,7469000,0,8
39,4046000,0,18
58,10892000,1,36
30,6259000,1,11
63,7286000,1,40
47,14858000,1,26
48,11192000,0,24
35,5913000,1,17
62,5349000,0,40
22,5874000,0,0
34,7869000,0,10
39,6345000,1,20
42,5733000,0,18
42,11001000,0,23
27,6325000,1,7
31,14722000,0,11
25,6795000,0,5
46,12297000,0,22
36,7460000,0,13
46,9221000,0,23
47,5108000,0,28
52,4883000,0,28
45,7732000,1,24
50,9304000,0,28
47,6676000,0,25
50,4197000,0,28
48,4089000,0,26
35,3995000,1,14
32,3546000,0,10
56,6840000,0,32
36,9760000,1,16
45,6552000,1,24
29,2984000,1,10
40,6158000,0,20
44,6218000,0,21
49,13709000,1,27
44,3953000,1,25
37,5742000,1,16
64,11960000,1,40
44,7706000,1,26
